ID	Sex	Ltot	Wtot	Wev	Wliver	Wgonad	BCI	IGS	IHS	Maturity_LM50	year	Age_class	Site_codde
1	M	73,6	919	850	16	NA	0,0023	NA	1,741	Immature	2021	2	1
2	F	58,2	297	276	5	1,2	0,0015	0,404	1,6835	Immature	2022	1	4
3	M	86,2	1726	1540	43	1,05	0,0027	0,0608	2,4913	Mature	2022	2	4
4	NA	70,2	752	705	14	NA	0,0022	NA	1,8617	Immature	2021	2	3
5	M	71	969	840	31	1,38	0,0027	0,1424	3,1992	Immature	2021	2	3
6	F	48,8	202	188	3	1,25	0,0017	0,6188	1,4851	Immature	2021	1	3
7	F	45	203	108	4	1,35	0,0022	0,665	1,9704	Immature	2021	1	3
8	F	58,3	405	384	4	1,6	0,002	0,3951	0,9877	Immature	2021	1	2
9	F	81,8	1278	1178	29	11	0,0023	0,8607	2,2692	Mature	2021	2	2
10	F	56	304	285	6	1,36	0,0017	0,4474	1,9737	Immature	2021	1	4
11	M	50	228	211	4	0,5	0,0018	0,2193	1,7544	Immature	2021	1	4
12	M	61,5	463	434	9	0,8	0,002	0,1728	1,9438	Immature	2021	2	3
13	M	56,4	367	335	8	0,3	0,002	0,0817	2,1798	Immature	2021	1	3
14	M	69,8	917	584	15	0,26	0,0027	0,0284	1,6358	Immature	2021	2	3
15	M	67	740	698	17	0,75	0,0025	0,1014	2,2973	Immature	2021	2	3
16	M	71,5	779	733	20	0,92	0,0021	0,1181	2,5674	Immature	2021	2	3
17	M	89	1630	1510	32	1,27	0,0023	0,0779	1,9632	Mature	2022	3	4
18	M	58	364	341	5	0,22	0,0019	0,0604	1,3736	Immature	2022	1	4
19	M	60,5	499	465	10	0,3	0,0023	0,0601	2,004	Immature	2023	1	3
20	F	70,5	781	778	10	3,6	0,0022	0,4609	1,2804	Mature	2023	2	4
21	M	68,5	726	669	20	0,6	0,0023	0,0826	2,7548	Immature	2023	2	4
22	M	70	732	689	13	0,4	0,0021	0,0546	1,776	Immature	2023	2	4
23	M	72	997	911	27	1,1	0,0027	0,1103	2,7081	Immature	2023	2	4
24	M	70	876	808	23	0,7	0,0026	0,0799	2,6256	Immature	2023	2	4
25	M	75	951	884	18	0,7	0,0023	0,0736	1,8927	Mature	2023	2	4
26	F	64,5	555	521	9	2,1	0,0021	0,3784	1,6216	Immature	2023	2	4
27	M	74	794	745	16	0,3	0,002	0,0378	2,0151	Immature	2023	2	4
28	M	71	720	674	15	0,6	0,002	0,0833	2,0833	Immature	2023	2	4
29	F	54	229	214	3	1,2	0,0015	0,524	1,31	Immature	2023	1	4
30	M	64,5	590	544	13	0,43	0,0022	0,0729	2,2034	Immature	2023	2	3
31	F	68	665	602	7	3,48	0,0021	0,5233	1,0526	Mature	2023	2	3
32	F	75	937	858	28,3	6,4	0,0022	0,683	3,0203	Mature	2023	2	3
33	M	98,5	1910	1792	23,66	1,75	0,002	0,0916	1,2387	Mature	2024	3	5
34	F	88,6	1163	1025	11,26	61,74	0,0017	5,3087	0,9682	Mature	2024	3	1
35	M	85	1849	1696	42,37	0,84	0,003	0,0454	2,2915	Mature	2024	3	4
36	M	76	1500	1078	31,73	0,89	0,0034	0,0593	2,1153	Mature	2024	2	4
